participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_D97B41C2,ant_and_grasshopper,male,,grade_4,52.45,-4.510355037782602,-7.981878878289828,0,0,33.33333333333333,0,66.66666666666666,100,16,20
S1_74AF4FCD,ant_and_grasshopper,female,10,grade_4,52,-7.981878878289828,-7.981878878289828,26.66666666666666,30,33.33333333333333,20,40,50,100,40
S1_FC7A901B,last_leaf_maple_valley,male,14,grade_8,55.5,-6.565166074925644,-5.196417130759268,50,50,16.66666666666666,20,33.33333333333333,30,58.33333333333334,41.66666666666666
S1_808F3964,last_leaf_maple_valley,female,14,grade_8,66,-3.827753274985775,-3.114494751207128,50,80,16.66666666666666,20,33.33333333333333,0,82,70
S1_F1D42670,last_leaf_maple_valley,female,14,grade_8,48.5,-7.269602145714807,0.3465735900161546,50,40,33.33333333333333,30,16.66666666666666,30,66.66666666666667,53.33333333333334
S1_4ED027CF,last_leaf_maple_valley,male,14,grade_8,49.5,-5.890288333444447,-7.981878878289828,33.33333333333333,50,50,0,16.66666666666666,50,33.66666666666666,40
S1_826AA50D,last_leaf_maple_valley,male,14,grade_8,48,-7.981878878289828,-7.277516909858038,33.33333333333333,25,33.33333333333333,25,33.33333333333333,50,40.33333333333334,30
S1_285B0FD4,last_leaf_maple_valley,male,14,grade_8,52,0.3465735900161546,0.3465735900161546,0,0,0,0,100,100,2,0
S1_B2C61CD3,ant_and_grasshopper,female,14,grade_8,69.5,-5.189860888331914,-5.196417130759268,33.33333333333333,30,0,0,66.66666666666666,70,18,10.33333333333333
S1_DB6540FE,ant_and_grasshopper,female,15,grade_8,59,-6.565166074925644,-5.196417130759268,33.33333333333333,50,33.33333333333333,30,33.33333333333333,20,70,48.66666666666666
S1_E0D4B16C,last_leaf_maple_valley,male,14,grade_8,53,-5.890288333444447,-4.503487716055282,33.33333333333333,60,16.66666666666666,20,50,20,53.33333333333334,49
S1_36A8E17F,ant_and_grasshopper,male,10,grade_4,64,-4.872443148424855,-1.732008995014391,20,20,13.33333333333333,20,66.66666666666666,60,40,66.66666666666667
S1_EB2E5C3D,ant_and_grasshopper,female,11,grade_4,69.5,-7.981878878289828,-7.981878878289828,10,30,40,20,50,50,39,49
S1_C5D6DBF8,last_leaf_maple_valley,female,14,grade_8,30,-3.825825722222956,-3.114494751207128,50,100,16.66666666666666,0,33.33333333333333,0,63.66666666666666,60
S1_FCFBBFE0,ant_and_grasshopper,male,14,grade_8,52,-7.269602145714807,-7.277516909858038,59.33333333333334,45,30.33333333333333,45,10.33333333333333,10,12.33333333333333,46
S1_BF05D736,ant_and_grasshopper,male,,grade_8,52.45,-7.981878878289828,-7.981878878289828,26.66666666666666,30,33.33333333333333,50,40,20,23.66666666666667,30
S1_D1B52E4D,last_leaf_maple_valley,male,14,grade_8,60.5,-6.565166074925644,-6.575336962689026,33.33333333333333,50,33.33333333333333,30,33.33333333333333,20,69.33333333333333,49.66666666666666
S1_0BC83859,ant_and_grasshopper,male,15,grade_8,47.5,-5.890288333444447,-6.575336962689026,33.33333333333333,90,50,10,16.66666666666666,0,42,53.66666666666666
S1_CB9C8693,last_leaf_maple_valley,female,14,grade_8,48,-5.890288333444447,-5.196417130759268,2,6,33.33333333333333,0,64.66666666666666,94,50,49.66666666666666
S1_F45526F4,last_leaf_maple_valley,female,13,grade_8,59,-6.917383481724136,-5.196417130759268,33.33333333333333,30,33.33333333333333,30,33.33333333333333,40,47,49.33333333333334
S1_D580C5A2,ant_and_grasshopper,male,10,grade_4,59,-7.981878878289828,-7.981878878289828,16.66666666666666,20,33.33333333333333,50,50,30,38.66666666666666,35
S1_5D3D5EC2,last_leaf_maple_valley,male,10,grade_4,73,-7.981878878289828,-7.277516909858038,8.33333333333333,10,8.33333333333333,20,83.33333333333334,70,62,42
