"study","outcome","n","pre_mean","pre_ci_low","pre_ci_high","post_mean","post_ci_low","post_ci_high","mean_change","change_ci_low","change_ci_high","t","df","p","dz"
"Study 1","K value",250,-6.34544597085811,-6.60374676685929,-6.08714517485693,-5.77373912258803,-6.07554358540054,-5.47193465977551,0.571706848270087,0.346722448834248,0.796691247705927,5.00478130027639,249,1.05827077397858e-06,0.31653016199785
"Study 2","K value",190,-5.70823126842105,-6.11805367379785,-5.29840886304425,-5.33712518947368,-5.75484254247267,-4.9194078364747,0.371106078947368,0.0509746922034233,0.691237465691314,2.28669245025034,189,0.0233222775790928,0.165894106396249
"Study 1","Immediate allocation",250,24.6052,22.4802973264666,26.7301026735334,31.0876,28.2145456118834,33.9606543881166,6.4824,4.30256757875634,8.66223242124367,5.8570216987174,249,1.48358210020006e-08,0.37043057745951
"Study 2","Immediate allocation",190,24.039298245614,21.3932823829846,26.6853141082435,30.8921052631579,27.4414348771833,34.3427756491325,6.85280701754386,3.73636341050436,9.96925062458335,4.33757677189869,189,2.34178702299652e-05,0.314680893104135
"Study 1","Short-term allocation",250,27.9305333333333,26.1281715096055,29.7328951570611,26.956,24.6864853803476,29.2255146196524,-0.97453333333333,-3.24744020299511,1.29837353632845,-0.844460173165849,249,0.399222918518332,-0.0534083508100857
"Study 2","Short-term allocation",190,30.4121052631579,27.7342039272271,33.0900065990887,27.7052631578947,24.8562603383719,30.5542659774176,-2.70684210526316,-5.67583335498564,0.262149144459313,-1.79842342655641,189,0.0737056845543957,-0.130471348360814
"Study 1","Long-term allocation",250,47.4642666666667,44.6710586363789,50.2574746969544,41.9564,38.6321735020015,45.2806264979985,-5.50786666666666,-8.07788856536377,-2.93784476796956,-4.22095487495527,249,3.41144705188522e-05,-0.266956626112997
"Study 2","Long-term allocation",190,45.5485964912281,41.9352810623953,49.1619119200608,41.4026315789474,37.1846290799905,45.6206340779042,-4.14596491228071,-7.90855997409812,-0.383369850463295,-2.17358228821321,189,0.0309799422676232,-0.157688232775846
"Study 1","Subjective time estimate",250,46.7426666666667,43.7005409290393,49.784792404294,42.6333333333333,39.8966162115103,45.3700504551563,-4.10933333333333,-6.23505826506604,-1.98360840160062,-3.80739924559585,249,0.000176892942771936,-0.240801071553794
"Study 2","Subjective time estimate",190,53.7649122807018,50.5546076175254,56.9752169438782,50.4385964912281,47.4079550606404,53.4692379218158,-3.32631578947368,-5.69270324039482,-0.959928338552547,-2.77278099801163,189,0.00611462016850667,-0.201158676081377
