from_purpose,to_purpose,forward_count,reverse_count,net_flow,participants_net_forward,participants_net_reverse,participants_net_zero,mean_net_per_participant,bootstrap_ci_low,bootstrap_ci_high,permutation_p,holm_adjusted_p
friends_or_gifts,learning_or_education,1,9,-8,0,7,64,-0.11267605633802817,-0.1971830985915493,-0.04225352112676058,0.015099849001509985,0.15099849001509985
friends_or_gifts,family_support,15,3,12,7,1,63,0.1690140845070423,0.014084507042253535,0.4084507042253522,0.06267937320626794,0.5641143588564115
learning_or_education,saving_for_future,5,11,-6,4,9,58,-0.08450704225352121,-0.1971830985915493,0.02816901408450706,0.2120478795212048,1
friends_or_gifts,saving_for_future,13,20,-7,9,12,50,-0.09859154929577459,-0.2816901408450704,0.07042253521126764,0.3549664503354966,1
family_support,learning_or_education,1,4,-3,1,3,67,-0.04225352112676059,-0.12676056338028166,0.028169014084507046,0.5001149988500115,1
immediate_consumption,saving_for_future,25,19,6,11,10,50,0.08450704225352117,-0.12676056338028166,0.323943661971831,0.5945740542594574,1
immediate_consumption,learning_or_education,1,3,-2,1,3,67,-0.028169014084507057,-0.08450704225352117,0.028169014084507053,0.6251337486625134,1
family_support,saving_for_future,17,19,-2,11,10,50,-0.028169014084507078,-0.2676056338028168,0.18309859154929575,0.9030609693903061,1
immediate_consumption,friends_or_gifts,8,8,0,6,7,58,0,-0.12676056338028172,0.1408450704225352,1,1
immediate_consumption,family_support,4,5,-1,2,3,66,-0.014084507042253535,-0.07042253521126765,0.042253521126760604,1,1
