participant_id,purpose,count_post,count_pre,change
S2_04E985DF,family_support,1,2,-1
S2_04E985DF,friends_or_gifts,2,1,1
S2_04E985DF,immediate_consumption,0,0,0
S2_04E985DF,learning_or_education,0,1,-1
S2_04E985DF,saving_for_future,4,3,1
S2_0847352F,family_support,0,0,0
S2_0847352F,friends_or_gifts,0,0,0
S2_0847352F,immediate_consumption,1,0,1
S2_0847352F,learning_or_education,0,0,0
S2_0847352F,saving_for_future,6,7,-1
S2_09C4D6FE,family_support,3,1,2
S2_09C4D6FE,friends_or_gifts,1,1,0
S2_09C4D6FE,immediate_consumption,1,0,1
S2_09C4D6FE,learning_or_education,0,1,-1
S2_09C4D6FE,saving_for_future,2,4,-2
S2_0D9452DD,family_support,4,0,4
S2_0D9452DD,friends_or_gifts,1,2,-1
S2_0D9452DD,immediate_consumption,0,0,0
S2_0D9452DD,learning_or_education,0,0,0
S2_0D9452DD,saving_for_future,2,5,-3
S2_149CA997,family_support,0,0,0
S2_149CA997,friends_or_gifts,2,1,1
S2_149CA997,immediate_consumption,0,0,0
S2_149CA997,learning_or_education,0,0,0
S2_149CA997,saving_for_future,5,6,-1
S2_1A9DB96F,family_support,1,2,-1
S2_1A9DB96F,friends_or_gifts,0,0,0
S2_1A9DB96F,immediate_consumption,1,0,1
S2_1A9DB96F,learning_or_education,0,1,-1
S2_1A9DB96F,saving_for_future,5,4,1
S2_20B0F917,family_support,1,0,1
S2_20B0F917,friends_or_gifts,3,0,3
S2_20B0F917,immediate_consumption,1,0,1
S2_20B0F917,learning_or_education,1,0,1
S2_20B0F917,saving_for_future,1,7,-6
S2_217BBB51,family_support,0,0,0
S2_217BBB51,friends_or_gifts,0,0,0
S2_217BBB51,immediate_consumption,0,0,0
S2_217BBB51,learning_or_education,0,0,0
S2_217BBB51,saving_for_future,7,7,0
S2_21D40236,family_support,0,0,0
S2_21D40236,friends_or_gifts,0,0,0
S2_21D40236,immediate_consumption,0,0,0
S2_21D40236,learning_or_education,0,0,0
S2_21D40236,saving_for_future,7,7,0
S2_23EEB5F9,family_support,2,1,1
S2_23EEB5F9,friends_or_gifts,0,0,0
S2_23EEB5F9,immediate_consumption,5,5,0
S2_23EEB5F9,learning_or_education,0,0,0
