participant_id,story_condition,gender,age_years,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post,purpose_pre_01,purpose_pre_02,purpose_pre_03,purpose_pre_04,purpose_pre_05,purpose_pre_06,purpose_pre_07,intention_pre_01,intention_pre_02,intention_pre_03,intention_pre_04,intention_pre_05,intention_pre_06,intention_pre_07,purpose_post_01,purpose_post_02,purpose_post_03,purpose_post_04,purpose_post_05,purpose_post_06,purpose_post_07,intention_post_01,intention_post_02,intention_post_03,intention_post_04,intention_post_05,intention_post_06,intention_post_07
S2_C40DACAA,badgers_parting_gifts,female,12,-1.540445,-4.337269,50,50,16.66666666666667,10,33.33333333333334,40,72.3333333333333,44.6666666666667,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,friends_or_gifts,2,2,2,2,2,2,2,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,2,2,2,2,2,2,2
S2_90B75EAE,badgers_parting_gifts,female,12,-5.071969,-2.280062,0,0,16.66666666666667,0,83.33333333333333,100,61.6666666666667,46.6666666666667,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,2,2,2,2,2,2,2,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,2,2,2,2,2,2,2
S2_AD0FAAF4,fall_of_freddie_leaf,male,13,-1.540445,-3.654383,50,15,33.33333333333334,80,16.66666666666667,5,60,33.6666666666667,family_support,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,3,2,2,2,2,2,2,family_support,saving_for_future,family_support,saving_for_future,family_support,learning_or_education,saving_for_future,3,2,2,3,2,2,2
S2_981C9524,badgers_parting_gifts,male,13,-1.540445,-1.540445,33.33333333333334,100,33.33333333333334,0,33.33333333333334,0,1,5,immediate_consumption,immediate_consumption,immediate_consumption,saving_for_future,immediate_consumption,immediate_consumption,saving_for_future,2,1,2,2,2,2,1,immediate_consumption,immediate_consumption,immediate_consumption,immediate_consumption,immediate_consumption,immediate_consumption,immediate_consumption,1,1,1,1,1,1,1
S2_34662E97,goodbye_grandma_erma,male,14,-9.902488,-7.825303,50,20,30,30,20,50,11,11,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,2,2,2,2,2,2,2,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,2,3,3,3,3,2,2
S2_13C83A3C,badgers_parting_gifts,female,14,-5.071969,-5.071969,33.33333333333334,70,50,20,16.66666666666667,10,55,58.3333333333333,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,3,3,2,3,3,3,3,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,3,3,2,3,3,3,3
S2_4FB6E490,badgers_parting_gifts,male,13,-5.071969,-2.280062,0,0,16.66666666666667,0,83.33333333333333,100,43.3333333333333,50.6666666666667,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,saving_for_future,family_support,3,3,3,3,3,3,3,family_support,family_support,family_support,saving_for_future,saving_for_future,learning_or_education,family_support,3,3,3,3,3,3,3
S2_7DC80CF0,fall_of_freddie_leaf,male,11,-5.071969,-5.071969,16.66666666666667,20,33.33333333333334,60,50,20,40.6666666666667,35.3333333333333,family_support,saving_for_future,family_support,friends_or_gifts,learning_or_education,saving_for_future,friends_or_gifts,2,2,2,3,2,3,2,family_support,saving_for_future,friends_or_gifts,friends_or_gifts,saving_for_future,friends_or_gifts,friends_or_gifts,2,2,2,3,2,2,2
S2_BBA8527A,goodbye_grandma_erma,male,11,-9.902488,-9.902488,16.66666666666667,30,16.66666666666667,20,66.66666666666667,50,34,37.3333333333333,saving_for_future,saving_for_future,family_support,family_support,learning_or_education,learning_or_education,saving_for_future,3,2,3,3,3,3,2,saving_for_future,family_support,saving_for_future,family_support,family_support,family_support,learning_or_education,3,3,3,3,3,3,3
S2_D0854212,badgers_parting_gifts,male,10,-2.280062,-2.280062,33.33333333333334,30,16.66666666666667,30,50,40,10.6666666666667,34.3333333333333,immediate_consumption,immediate_consumption,immediate_consumption,immediate_consumption,learning_or_education,learning_or_education,immediate_consumption,3,2,2,2,2,2,2,friends_or_gifts,saving_for_future,friends_or_gifts,saving_for_future,family_support,saving_for_future,saving_for_future,2,2,2,2,2,2,2
