study,variable_name,label,data_type,allowed_values_or_range,missing_value,analysis_role,source_variable,missing_n

Study 1,participant_id,New non-identifying participant ID,string,Unique random ID,blank,identifier,generated,0

Study 1,story_condition,Assigned narrative condition,category,ant_and_grasshopper; last_leaf_maple_valley,blank,grouping variable,story_condition,0

Study 1,gender,Participant gender,category,female; male,blank,demographic,gender,0

Study 1,age_years,Age in years,decimal,Grade 4: 9-10; Grade 8: 13-16,blank,demographic,age,9
Study 1,school_level,School cohort,category,grade_4; grade_8,blank,developmental grouping variable,school_level,0

Study 1,ses_hollingshead,Hollingshead-type family socioeconomic-status score,decimal,11-80.5,blank,covariate,ses_hollingshead,0

Study 1,ln_k_pre,Natural-log-transformed k at pretest,decimal,Continuous,blank,primary outcome,k_log_pre,0
Study 1,ln_k_post,Natural-log-transformed k at posttest,decimal,Continuous,blank,primary outcome,k_log_post,0
Study 1,allocation_immediate_pre,Immediate allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_immediate_pre,0

Study 1,allocation_immediate_post,Immediate allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_immediate_post,0

Study 1,allocation_short_pre,Short-term allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_short_pre,0

Study 1,allocation_short_post,Short-term allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_short_post,0

Study 1,allocation_long_pre,Long-term allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_long_pre,0

Study 1,allocation_long_post,Long-term allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_long_post,0

Study 1,subjective_time_pre,Mean subjective-duration rating at pretest,decimal,0-100,blank,exploratory outcome,time_perception_main_pre,0

Study 1,subjective_time_post,Mean subjective-duration rating at posttest,decimal,0-100,blank,exploratory outcome,time_perception_main_post,0

Study 2,participant_id,New non-identifying participant ID,string,Unique random ID,blank,identifier,generated,0

Study 2,story_condition,Assigned narrative condition,category,badgers_parting_gifts; fall_of_freddie_leaf; goodbye_grandma_erma,blank,grouping variable,story_condition,0

Study 2,gender,Participant gender,category,female; male,blank,demographic,gender,0

Study 2,age_years,Age in years,decimal,10-16,blank,demographic,age,0
Study 2,ln_k_pre,Natural-log-transformed k at pretest,decimal,Continuous,blank,primary outcome,k_log_pre,0
Study 2,ln_k_post,Natural-log-transformed k at posttest,decimal,Continuous,blank,primary outcome,k_log_post,0
Study 2,allocation_immediate_pre,Immediate allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_immediate_pre,0

Study 2,allocation_immediate_post,Immediate allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_immediate_post,0

Study 2,allocation_short_pre,Short-term allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_short_pre,0

Study 2,allocation_short_post,Short-term allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_short_post,0

Study 2,allocation_long_pre,Long-term allocation percentage at pretest,decimal,0-100,blank,primary outcome,temporal_long_pre,0

Study 2,allocation_long_post,Long-term allocation percentage at posttest,decimal,0-100,blank,primary outcome,temporal_long_post,0

Study 2,subjective_time_pre,Mean subjective-duration rating at pretest,decimal,0-100,blank,exploratory outcome,mean of three duration items transformed to 0-100,0
