"study","outcome","n","pre_mean","pre_sd","post_mean","post_sd","mean_change","ci_low","ci_high","t_statistic","df","p_value"
"Study 1","ln_k",230,-6.2560566590644,2.10278646351769,-5.67863905676864,2.43188056428689,0.577417602295756,0.338758542754377,0.816076661837135,4.76717929226128,229,3.32210580529483e-06
"Study 2","ln_k",184,-5.62417730434783,2.82658700553173,-5.21450748369565,2.86608415593016,0.409669820652174,0.0819550687195667,0.737384572584781,2.46642371956663,183,0.0145674669466293
"Study 1","allocation_immediate",230,25.4331884057971,17.2582570995953,31.9213043478261,22.8932386052542,6.48811594202899,4.28690119685562,8.68933068720235,5.80771880244393,229,2.10248412937715e-08
"Study 2","allocation_immediate",184,24.1891304347826,18.3513311946783,31.5733695652174,24.1786112758528,7.38423913043478,4.2655286440216,10.502949616848,4.67154352801733,183,5.77504507860112e-06
"Study 1","allocation_short",230,28.3071014492754,14.7353424833707,27.795652173913,18.3690212508057,-0.511449275362316,-2.92705795042943,1.9041593997048,-0.417181824253686,229,0.67693624673832
"Study 2","allocation_short",184,30.334963768116,17.9391673529582,27.25,19.5881781008718,-3.08496376811595,-5.90777227857584,-0.26215525765605,-2.15624625251848,183,0.0323695764192017
"Study 1","allocation_long",230,46.2597101449275,22.4435484595383,40.2830434782609,26.2043184438609,-5.97666666666666,-8.64114419939975,-3.31218913393358,-4.41973635932036,229,1.52592935017105e-05
"Study 2","allocation_long",184,45.4759057971015,24.7660606221072,41.1766304347826,29.6253020561364,-4.29927536231884,-8.05748548211431,-0.54106524252338,-2.25706419969102,183,0.0251861510482956
"Study 1","subjective_time",230,46.8333333333333,24.6902155579672,42.595652173913,22.3825476225013,-4.23768115942029,-6.46462339883645,-2.01073892000413,-3.74945992882601,229,0.000224481374609635
"Study 2","subjective_time",184,54.0018115942029,22.4466039092425,50.8423913043478,21.1646315750789,-3.15942028985507,-5.56167450705775,-0.757166072652396,-2.59488518416093,183,0.0102293057078971

