outcome,label,unit,school_level,n,pre_mean,pre_sd,post_mean,post_sd,mean_change,change_sd,change_se,change_ci_low,change_ci_high
allocation_immediate,Immediate allocation,percentage points,grade_4,104,19.19839743589743,11.86577973832483,22.51826923076923,17.03123210100395,3.3198717948717986,15.725801443849056,1.5420417005590756,0.26159578040749665,6.378147809336101
allocation_immediate,Immediate allocation,percentage points,grade_8,126,30.579365079365076,19.251051507047187,39.682539682539684,24.22516073627609,9.103174603174606,17.517151685551024,1.5605519047495615,6.014648704477542,12.19170050187167
allocation_long,Long-term allocation,percentage points,grade_4,104,54.16089743589743,19.265896470819367,47.20288461538462,24.69765311255527,-6.958012820512816,23.090123133150268,2.2641728543691038,-11.448465660152433,-2.467559980873199
allocation_long,Long-term allocation,percentage points,grade_8,126,39.738095238095234,22.850416272127823,34.57142857142857,26.127205306784283,-5.166666666666663,18.158450741550986,1.6176833654641667,-8.3682628166706,-1.9650705166627271
allocation_short,Short-term allocation,percentage points,grade_4,104,26.640705128205123,13.561692477050489,30.278846153846153,19.237128709498467,3.6381410256410294,20.10710395120645,1.9716637578661593,-0.2721890108842189,7.548471062166278
allocation_short,Short-term allocation,percentage points,grade_8,126,29.68253968253968,15.556855274500247,25.746031746031747,17.431436662736218,-3.9365079365079323,16.553144812228382,1.4746713466907875,-6.855065552220108,-1.0179503207957574
ln_k,ln(k),log units,grade_4,104,-6.853867794920636,2.035467091403781,-6.487246456579156,2.4370664298736497,0.3666213383414798,1.6803181435679138,0.16476875005955377,0.039841384169227445,0.6934012925137322
ln_k,ln(k),log units,grade_8,126,-5.762625245341793,2.0356515796111556,-5.011217075972666,2.2243053159147728,0.7514081693691271,1.946204368742135,0.17338166553513631,0.40826433497648834,1.094552003761766
subjective_time,Subjective feeling of time passage,scale points,grade_4,104,44.5,26.23427766688735,39.46474358974359,24.368813884081494,-5.03525641025641,18.057257504537606,1.7706597764924425,-8.546942457566454,-1.5235703629463657
subjective_time,Subjective feeling of time passage,scale points,grade_8,126,48.75925925925926,23.268505711039786,45.179894179894184,20.336705765952722,-3.579365079365081,16.388786332743422,1.460029129575458,-6.468943930168889,-0.6897862285612724
