wave,choice,purpose,participants,mean_intention,sd_intention,standard_error,ci_low,ci_high,purpose_label
pretest,LL,saving_for_future,148,2.5189028314028312,0.531537235671571,0.04369209162974765,2.4325570645888175,2.605248598216845,Saving for future
pretest,LL,immediate_consumption,50,2.3666666666666667,0.5334608691049542,0.07544275960835646,2.2150587651370195,2.518274568196314,Immediate consumption
pretest,LL,family_support,49,2.4149659863945576,0.5036009785318445,0.07194299693312065,2.2703148961931716,2.5596170765959436,Family support
pretest,LL,learning_or_education,30,2.35,0.5894181818568616,0.10761254466889511,2.129907633777846,2.570092366222154,Learning or education
pretest,LL,friends_or_gifts,53,2.3688679245283017,0.5187101620564315,0.0712503203859873,2.2258936967661387,2.511842152290465,Friends or gifts
pretest,SS,saving_for_future,111,2.457850707850708,0.5173494395961425,0.04910463571907532,2.3605368455908873,2.5551645701105286,Saving for future
pretest,SS,immediate_consumption,41,2.356910569105691,0.5112753064879921,0.07984778797497977,2.1955321698590664,2.5182889683523157,Immediate consumption
pretest,SS,family_support,26,2.467948717948718,0.5657231964863515,0.11094744685292275,2.239448173825576,2.69644926207186,Family support
pretest,SS,learning_or_education,18,2.175925925925926,0.549724298760556,0.1295712598122029,1.9025544635346523,2.4492973883172,Learning or education
pretest,SS,friends_or_gifts,33,2.1363636363636362,0.5899248796553368,0.10269274024034818,1.927185369636784,2.3455419030904885,Friends or gifts
posttest,LL,saving_for_future,138,2.5965148378191856,0.5131004828347323,0.04367801369485331,2.510144570247359,2.682885105391012,Saving for future
posttest,LL,immediate_consumption,49,2.45578231292517,0.5190530799188486,0.07415043998840695,2.3066928609913493,2.6048717648589905,Immediate consumption
posttest,LL,family_support,43,2.555813953488372,0.5273835251048208,0.08042523359545449,2.393509261124486,2.718118645852258,Family support
posttest,LL,learning_or_education,32,2.609375,0.4874948304109689,0.08617772509424551,2.433614370890433,2.785135629109567,Learning or education
posttest,LL,friends_or_gifts,47,2.5,0.5361339511041714,0.07820317421954258,2.3425851747919535,2.6574148252080465,Friends or gifts
posttest,SS,saving_for_future,109,2.487636522498908,0.5133810872882599,0.04917298997401096,2.3901671256774666,2.585105919320349,Saving for future
posttest,SS,immediate_consumption,49,2.326530612244898,0.600885904305003,0.08584084347214328,2.1539360287360254,2.4991251957537703,Immediate consumption
posttest,SS,family_support,31,2.358678955453149,0.5613844606131793,0.10082762560156819,2.152761472852813,2.564596438053485,Family support
posttest,SS,learning_or_education,19,2.3421052631578947,0.578615002948789,0.13274338553001366,2.0632217588016757,2.6209887675141137,Learning or education
posttest,SS,friends_or_gifts,39,2.2905982905982905,0.6417696986294014,0.1027653970095732,2.082560620640014,2.498635960556567,Friends or gifts
